ID,Site,Year,Month,Day,UTCmonth,UTCday,Hour,Minute,Duration,Z1,Z2,Cal,Big,FFD,Z0C,Storm
KDIX,KDIX,2023,2,21,2,21,21,0,1.5,40,45,-0.141302954,300,180,3500,0
KILN,KILN,2023,2,27,2,27,20,0,1.5,40,45,-0.362334219,300,180,3500,3
KGWX,KGWX,2023,3,2,3,2,1,0,1.5,45,50,0.159847575,300,180,3500,5
KSHV,KSHV,2023,3,2,3,2,23,0,1.5,35,40,-0.084344973,300,150,3500,13
KBBX,KBBX,2023,3,7,3,7,0,0,1.5,30,40,-0.243014988,300,180,3500,3
KHNX,KHNX,2023,3,12,3,12,0,0,1.5,45,50,0.01530727,300,190,3500,1
KFDR,KFDR,2023,3,16,3,16,18,0,1.5,45,50,-0.444230767,300,140,3500,0
KFWS,KFWS,2023,3,16,3,16,21,0,1.5,45,50,0.291404633,300,180,3500,0
KFDR,KFDR,2023,3,24,3,24,1,0,1.5,45,50,-0.457480736,300,130,3500,2
KDGX,KDGX,2023,3,25,3,25,0,0,1.5,40,45,-0.33283065,10000,150,3500,1
KJGX,KJGX,2023,3,25,3,25,20,0,1.5,45,50,-0.16392546,300,160,3500,1
KBMX,KBMX,2023,3,26,3,26,9,0,1.5,45,50,0.055271633,300,190,3500,2
KDGX,KDGX,2023,3,26,3,26,22,0,1.5,45,50,-0.371424041,300,150,3500,4
KLIX,KLIX,2023,3,27,3,27,16,0,1.5,45,50,-0.036102892,300,160,3500,0
KLIX,KLIX,2023,3,28,3,28,4,0,1.5,45,50,-0.051335227,300,160,3500,0
KNQA,KNQA,2023,3,31,3,31,23,0,1.5,45,50,-0.123990762,300,160,3500,0
KSHV,KSHV,2023,4,1,4,1,1,0,1.5,45,50,0.058654237,300,170,3500,0
KDOX,KDOX,2023,4,1,4,1,22,0,1.5,35,40,0.164038755,300,190,3500,0
KGRK,KGRK,2023,4,3,4,3,1,0,1.5,45,50,-0.042104651,300,180,3500,0
KILX,KILX,2023,4,5,4,5,1,0,1.5,45,50,0.025574588,300,180,3500,0
KDMX,KDMX,2023,4,5,4,5,0,0,1.5,45,50,-0.018727091,300,170,3500,1
KFCX,KFCX,2023,4,6,4,6,21,0,1.5,45,50,0.189607787,300,140,3500,2
KLBB,KLBB,2023,4,9,4,9,23,0,1.5,45,50,-0.001033651,300,210,3500,1
KLSX,KLSX,2023,4,15,4,15,22,0,1.5,45,50,-0.329404766,300,160,3500,8
KSRX,KSRX,2023,4,15,4,15,20,0,1.5,45,50,-0.350520178,300,160,3500,2
KTLX,KTLX,2023,4,20,4,20,1,0,1.5,45,50,-0.048999344,300,220,3500,0
KTWX,KTWX,2023,4,20,4,20,2,0,1.5,45,50,0.042837101,300,210,3500,0
KDYX,KDYX,2023,4,20,4,20,2,0,1.5,45,50,0.140260953,300,210,3500,0
KDVN,KDVN,2023,4,20,4,20,21,0,1.5,45,50,0.00224605,300,160,3500,2
KFWS,KFWS,2023,4,20,4,20,20,0,1.5,45,50,0.34826047,300,180,3500,2
KEWX,KEWX,2023,4,21,4,21,1,0,1.5,45,50,-0.212517504,300,190,3500,0
KBRO,KBRO,2023,4,21,4,21,21,0,1.5,40,45,-0.057379168,10000,170,3500,4
KTBW,KTBW,2023,4,24,4,24,19,0,1.5,45,50,-0.071499079,300,150,3500,8
KLBB,KLBB,2023,4,26,4,26,2,0,1.5,45,50,0.015460261,300,180,3500,1
KFTG,KFTG,2023,4,25,4,25,21,0,1.5,45,50,-0.233771239,300,170,3500,0
KMLB,KMLB,2023,4,26,4,26,20,0,1.5,45,50,0.075748864,300,180,3500,1
KJAX,KJAX,2023,4,26,4,26,21,0,1.5,45,50,0.134754802,300,190,3500,0
KDYX,KDYX,2023,4,26,4,26,21,0,1.5,45,50,0.063697386,300,150,3500,2
KEVX,KEVX,2023,4,27,4,27,18,0,1.5,45,50,0.022380318,300,170,3500,0
KMLB,KMLB,2023,4,27,4,27,23,0,1.5,45,50,-0.065684334,300,180,3500,0
KJAX,KJAX,2023,4,27,4,27,20,0,1.5,45,50,0.123906889,300,160,3500,10
KGWX,KGWX,2023,4,27,4,27,23,0,1.5,45,50,0.210891414,300,160,3500,0
KDYX,KDYX,2023,5,4,5,4,23,0,1.5,45,50,0.100946424,300,160,3500,0
KUEX,KUEX,2023,5,5,5,5,23,0,1.5,45,50,-0.183917882,300,180,3500,0
KUEX,KUEX,2023,5,7,5,7,2,0,1.5,45,50,-0.044962026,300,160,3500,0
KGLD,KGLD,2023,5,7,5,7,21,0,1.5,45,50,-0.223893254,300,160,3500,0
KHPX,KHPX,2023,5,9,5,9,4,0,1.5,45,50,-0.367597167,300,210,3500,0
KCYS,KCYS,2023,5,10,5,10,1,0,1.5,45,50,-0.105626918,300,150,3500,1
KBIS,KBIS,2023,5,10,5,10,1,0,1.5,45,50,-0.245279156,300,180,3500,0
KTLX,KTLX,2023,5,12,5,12,2,0,1.5,45,50,0.089033785,300,140,3500,4
KOAX,KOAX,2023,5,12,5,12,23,0,1.5,45,50,-0.36751536,300,120,3500,3
KDMX,KDMX,2023,5,13,5,13,18,0,1.5,45,50,0.151745248,300,140,3500,1
KILX,KILX,2023,5,14,5,14,21,0,1.5,45,50,0.30918598,300,170,3500,0
KJKL,KJKL,2023,5,16,5,16,20,0,1.5,45,50,-0.02310351,300,160,3500,7
KAMA,KAMA,2023,5,19,5,19,0,0,1.5,45,50,-0.063570534,300,170,3500,0
KMAF,KMAF,2023,5,19,5,19,23,0,1.5,45,50,-0.023547274,300,150,3500,0
KDYX,KDYX,2023,5,24,5,24,2,0,1.5,45,50,0.016023644,300,220,3500,0
KUDX,KUDX,2023,5,29,5,29,21,0,1.5,45,50,-0.141412555,300,170,3500,0
KUDX,KUDX,2023,5,31,5,31,21,0,1.5,45,50,-0.267983766,300,160,3500,0
KAMA,KAMA,2023,6,12,6,12,1,0,1.5,45,50,0.179745066,300,190,3500,0
KFWS,KFWS,2023,6,12,6,12,0,0,1.5,45,50,0.577997807,300,210,3500,2
KNQA,KNQA,2023,6,11,6,11,22,0,1.5,45,50,0.07899874,300,210,3500,0
KLZK,KLZK,2023,6,14,6,14,11,0,1.5,45,50,-0.435157301,300,200,3500,5
KFWS,KFWS,2023,6,14,6,14,23,0,1.5,45,50,0.7690997,300,200,3500,0
KEOX,KEOX,2023,6,14,6,14,18,0,1.5,45,50,-0.201129772,300,240,3500,0
KLIX,KLIX,2023,6,15,6,15,19,0,1.5,45,50,0.136215645,300,210,3500,0
KFDR,KFDR,2023,6,15,6,15,21,0,1.5,45,50,-0.225941429,300,200,3500,0
KGWX,KGWX,2023,6,16,6,16,22,0,1.5,45,50,0.126586564,300,220,3500,17
KPUX,KPUX,2023,6,16,6,16,23,0,1.5,45,50,-0.076744539,300,130,3500,3
KGRK,KGRK,2023,6,17,6,17,1,0,1.5,45,50,-0.117128773,300,210,3500,7
