ID,Site,Year,Month,Day,UTCmonth,UTCday,Hour,Minute,Duration,Z1,Z2,Cal,Big,FFD,Z0C,Storm,FFD
KIND,KIND,2021,6,19,6,19,0,0,1.5,45,50,-0.36081208,300,180,3500,0,220
KSGF,KSGF,2020,11,15,11,15,1,0,1.5,45,50,0.036718632,300,180,3500,3,160
KPOE,KPOE,2020,12,24,12,24,2,0,1.5,45,50,-0.074279287,300,180,3500,4,190
KTLH,KTLH,2021,1,27,1,27,16,0,1.5,45,50,-0.117366952,300,180,3500,1,145
KSGF,KSGF,2021,1,30,1,30,22,0,1.5,30,35,0.099928466,300,180,3500,1,200
KLBB,KLBB,2021,3,12,3,12,23,0,1.5,45,50,-0.01029794,300,180,3500,0,140
KDGX,KDGX,2021,3,17,3,17,0,0,1.5,45,50,0.229157108,300,180,3500,0,160
KFDR,KFDR,2021,3,17,3,17,3,0,1.5,45,50,-0.387049594,300,180,3500,0,180
KINX,KINX,2021,3,17,3,17,20,0,1.5,45,50,-0.104596639,300,180,3500,0,110
KBMX,KBMX,2021,3,17,3,17,21,0,1.5,45,50,0.113707575,300,180,3500,5,170
KAKQ,KAKQ,2021,3,19,3,19,0,0,1.5,45,50,-0.365476397,300,180,3500,1,120
KGRK,KGRK,2021,3,23,3,23,3,0,1.5,45,50,0.023734088,300,180,3500,1,170
KFWS,KFWS,2021,3,25,3,25,2,0,1.5,45,50,-0.169529318,300,180,3500,5,165
KBMX,KBMX,2021,3,25,3,25,18,0,1.5,45,50,0.118739186,10000,180,3500,0,140
KOHX,KOHX,2021,3,26,3,26,1,0,1.5,45,50,-0.085997683,300,180,3500,12,150
KFFC,KFFC,2021,3,26,3,26,4,0,1.5,45,50,-0.925483418,300,180,3500,0,140
KUEX,KUEX,2021,3,27,3,27,1,0,1.5,40,45,-0.132993997,300,180,3500,3,140
KRAX,KRAX,2021,3,27,3,27,22,0,1.5,40,44,-0.297584431,300,180,3500,26,170
KGWX,KGWX,2021,3,27,3,27,22,0,1.5,45,50,0.225079852,300,180,3500,0,170
KNQA,KNQA,2021,3,27,3,27,23,0,1.5,45,50,-0.010776879,300,180,3500,1,150
KHGX,KHGX,2021,4,14,4,14,21,0,1.5,45,50,-0.105027963,300,180,3500,0,150
KFDR,KFDR,2021,4,23,4,23,23,0,1.5,45,50,-0.135923744,300,180,3500,3,130
KFDR,KFDR,2021,4,27,4,27,22,0,1.5,45,50,-0.213947933,300,180,3500,0,150
KFWS,KFWS,2021,4,29,4,29,1,0,1.5,45,50,-0.050737333,300,180,3500,1,130
KDFX,KDFX,2021,4,28,4,28,22,0,1.5,45,50,-0.412768033,300,180,3500,1,140
KDGX,KDGX,2021,5,3,5,3,0,0,1.5,30,35,0.261131662,300,180,3500,0,190
KFWS,KFWS,2021,5,4,5,4,1,0,1.5,40,45,-0.089530649,300,180,3500,2,180
KEWX,KEWX,2021,5,4,5,4,1,0,1.5,45,50,0.006917241,300,180,3500,1,180
KUEX,KUEX,2021,5,9,5,9,0,0,1.5,45,50,-0.249098125,300,180,3500,4,180
KLBB,KLBB,2021,5,18,5,18,1,0,1.5,45,50,-0.091399305,300,180,3500,3,180
KPUX,KPUX,2021,5,22,5,22,22,0,1.5,45,50,0.137960382,300,180,3500,0,130
KPUX,KPUX,2021,5,23,5,23,19,0,1.5,45,50,0.092525157,300,180,3500,0,70
KGLD,KGLD,2021,5,24,5,24,21,0,1.5,45,50,-0.428897169,300,180,3500,2,170
KAMA,KAMA,2021,5,25,5,25,23,0,1.5,45,50,-0.487703581,300,180,3500,0,200
KGLD,KGLD,2021,5,26,5,26,16,0,1.5,45,50,-0.603817862,300,180,3500,0,200
KAMA,KAMA,2021,5,27,5,27,1,0,1.5,45,50,-0.438713443,300,180,3500,4,190
KMAF,KMAF,2021,6,2,6,2,22,0,1.5,45,50,0.020529025,300,180,3500,2,190
KGGW,KGGW,2021,6,9,6,9,1,0,1.5,45,50,-0.246292993,300,180,3500,2,120
KVWX,KVWX,2021,6,8,6,8,23,0,1.5,30,35,-0.074868646,300,180,3500,12,130
KGLD,KGLD,2021,6,25,6,25,1,0,1.5,45,50,-0.139481872,300,180,3500,3,140
KMAF,KMAF,2021,6,26,6,26,23,0,1.5,45,50,0.037858256,300,180,3500,0,200
KUDX,KUDX,2021,7,8,7,8,23,0,1.5,45,50,-0.210594758,300,180,3500,0,200
KDMX,KDMX,2021,7,9,7,9,18,0,1.5,45,50,-0.005317779,300,180,3500,0,180
KLSX,KLSX,2021,7,10,7,10,2,0,1.5,45,50,-0.10690396,300,180,3500,4,220
KDMX,KDMX,2021,7,14,7,14,21,0,1.5,30,35,0.025506529,300,180,3500,5,190
KCYS,KCYS,2021,7,14,7,14,21,0,1.5,45,50,-0.040299452,300,180,3500,1,180
